32,Ted Cruz,0,None of the above,14,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …,Unknown,Atlantic Time (Canada)
33,No candidate mentioned,1,None of the above,0,The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF,European Union,Bratislava
34,No candidate mentioned,1,None of the above,0,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,Canada,Eastern Time (US & Canada)
35,No candidate mentioned,0,FOX News or Moderators,0,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi,News about tech and more!,Pacific Time (US & Canada)
36,No candidate mentioned,0,FOX News or Moderators,216,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…",United States of America,Mazatlan
37,No candidate mentioned,0,None of the above,2,"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …",Unknown,Unknown
38,Jeb Bush,0,None of the above,3427,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…",Unknown,Unknown
39,No candidate mentioned,0,None of the above,3,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …",Arizona,Arizona
40,No candidate mentioned,1,None of the above,12,RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?,Unknown,Unknown
41,Donald Trump,0,None of the above,4,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,"Chicago, IL",Central Time (US & Canada)
42,No candidate mentioned,0,None of the above,4006,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",Unknown,Eastern Time (US & Canada)
43,No candidate mentioned,1,None of the above,50,"RT @RowdyGentleman: If you’re planning out a #GOPDebate drinking game right now, you’re a Rowdy Gentleman.",Unknown,Arizona
44,No candidate mentioned,0,Racial issues,450,RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3,Tac,Pacific Time (US & Canada)
45,Donald Trump,0,Women's Issues (not abortion though),0,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate","Washington, DC",Atlantic Time (Canada)
46,No candidate mentioned,0,Racial issues,4416,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT",Unknown,Central Time (US & Canada)
47,Donald Trump,1,FOX News or Moderators,6,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,Unknown,Unknown
48,Donald Trump,1,Jobs and Economy,189,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http…,California,Unknown
49,Donald Trump,2,FOX News or Moderators,0,“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,Unknown,Unknown
50,Mike Huckabee,0,None of the above,0,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers","Richmond, VA",Eastern Time (US & Canada)
51,No candidate mentioned,1,None of the above,12,RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,Fort Worth,New Delhi
52,Rand Paul,2,Women's Issues (not abortion though),78,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…",U.S. city with the most Cubans,Atlantic Time (Canada)
53,No candidate mentioned,0,Women's Issues (not abortion though),4,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…","Denver, CO",Central Time (US & Canada)
54,Donald Trump,0,FOX News or Moderators,0,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,Los Angeles,Pacific Time (US & Canada)
55,No candidate mentioned,0,FOX News or Moderators,5,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate","Houston, TX",Central Time (US & Canada)
56,No candidate mentioned,0,Religion,5,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…",Midgard,Mountain Time (US & Canada)
57,No candidate mentioned,0,Racial issues,105,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,U.S.A,Central Time (US & Canada)
58,No candidate mentioned,0,FOX News or Moderators,23,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…,"Rhinebeck, NY",Unknown
59,No candidate mentioned,0,Abortion,230,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6",NW Florida,Central Time (US & Canada)
60,Ted Cruz,2,Foreign Policy,123,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…",Unknown,Unknown
61,No candidate mentioned,0,None of the above,83,RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso,Delaware,Eastern Time (US & Canada)
62,No candidate mentioned,0,FOX News or Moderators,154,"RT @AmyMek: Status 👉 Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.…","Florida,, usually",Eastern Time (US & Canada)
63,Donald Trump,2,None of the above,18,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://…",NYC,Eastern Time (US & Canada)
64,No candidate mentioned,2,None of the above,23,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST",San Diego,Pacific Time (US & Canada)
65,No candidate mentioned,0,Foreign Policy,135,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,Unknown,Unknown
66,Rand Paul,1,None of the above,1322,RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,"Seattle, WA",Pacific Time (US & Canada)
67,John Kasich,1,Foreign Policy,45,RT @JohnKasich: Scrap the President's Iran deal. Iran can’t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,Unknown,Central Time (US & Canada)
68,No candidate mentioned,1,None of the above,0,Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked,Unknown,Mountain Time (US & Canada)
69,Donald Trump,2,None of the above,484,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…","Oxnerd, California",Arizona
70,Donald Trump,0,None of the above,54,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…",Vatican City,Unknown
71,Donald Trump,0,FOX News or Moderators,0,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7","Pittsburgh, PA",Eastern Time (US & Canada)
72,No candidate mentioned,0,Jobs and Economy,11,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…",Unknown,Unknown
73,Jeb Bush,0,Foreign Policy,4,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""",TEXAS is the greatest state,Central Time (US & Canada)
74,No candidate mentioned,2,None of the above,0,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,"Illinois, SW of Chicago",Central Time (US & Canada)
75,Donald Trump,0,FOX News or Moderators,0,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",Unknown,Quito
76,No candidate mentioned,2,Religion,233,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…","Walland, Tn",Eastern Time (US & Canada)
77,Donald Trump,0,None of the above,5,"RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…",Unknown,Unknown
78,No candidate mentioned,0,Abortion,804,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,"Holland, Michigan USA",Eastern Time (US & Canada)
79,No candidate mentioned,0,None of the above,224,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,Unknown,Unknown
80,No candidate mentioned,1,None of the above,18,"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
htt…",Searcy,Central Time (US & Canada)
81,No candidate mentioned,0,None of the above,1,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …",Unknown,Eastern Time (US & Canada)
82,No candidate mentioned,0,Healthcare (including Medicare),0,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,"Madison, NJ",Eastern Time (US & Canada)
83,No candidate mentioned,2,None of the above,6,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY,Unknown,Unknown
84,Ted Cruz,2,None of the above,1449,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…","Arrington, TN",Eastern Time (US & Canada)
85,Donald Trump,1,None of the above,532,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,Unknown,Pacific Time (US & Canada)
86,No candidate mentioned,1,None of the above,23,RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar,Unknown,Eastern Time (US & Canada)
87,No candidate mentioned,0,Abortion,0,"They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn",The District.,Quito
88,No candidate mentioned,0,FOX News or Moderators,61,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…,Southwest USA,Unknown
89,Donald Trump,0,None of the above,13,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…,9/10th mile north Nowhere OK,Unknown
90,No candidate mentioned,1,None of the above,0,A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8,"Seattle, WA",Alaska
91,No candidate mentioned,2,FOX News or Moderators,0,"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",Stevens Point // DeKalb,Mountain Time (US & Canada)
92,No candidate mentioned,0,None of the above,839,RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…,Los Angeles,Unknown
93,No candidate mentioned,2,None of the above,1,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR,Unknown,Unknown
94,No candidate mentioned,2,None of the above,44,RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…,"Boise, Idaho",Mountain Time (US & Canada)
95,No candidate mentioned,0,None of the above,1,"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…","Washington, DC",Eastern Time (US & Canada)
96,Donald Trump,0,None of the above,1,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,191 Throckmorton St. Freehold,Unknown
97,Jeb Bush,1,None of the above,1,"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""",TEXAS is the greatest state,Central Time (US & Canada)
98,No candidate mentioned,0,None of the above,347,RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw,"Austin, Texas",Unknown
99,Marco Rubio,0,LGBT issues,9,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…,"lib utopia, with unicorns",Pacific Time (US & Canada)
100,Donald Trump,0,None of the above,4,"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…","Las Vegas, Nevada",America/Los_Angeles
101,No candidate mentioned,1,None of the above,1,"RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKr…",Unknown,Unknown
102,No candidate mentioned,2,None of the above,0,Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP,Unknown,Mountain Time (US & Canada)
103,Donald Trump,0,Women's Issues (not abortion though),149,"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …",Unknown,Unknown
104,No candidate mentioned,0,None of the above,18,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…,Unknown,Mountain Time (US & Canada)
105,Donald Trump,1,None of the above,0,I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate,Euro Swamp,Amsterdam
106,No candidate mentioned,0,FOX News or Moderators,2,"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT",Los Angeles,Pacific Time (US & Canada)
107,John Kasich,2,Jobs and Economy,90,"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",Unknown,Central Time (US & Canada)
108,No candidate mentioned,2,None of the above,0,Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate,USA,Eastern Time (US & Canada)
109,No candidate mentioned,1,None of the above,156,"RT @CarlyFiorina: At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?https://t.co/nzYnC1JRxS
http…",Unknown,Central Time (US & Canada)
110,Donald Trump,0,None of the above,0,Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate,Earth,Mountain Time (US & Canada)
111,No candidate mentioned,0,Women's Issues (not abortion though),95,RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate,PDX,Eastern Time (US & Canada)
112,Donald Trump,0,None of the above,5,"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won’t be safe, except if we’re attacked …",Unknown,Unknown
113,No candidate mentioned,0,Foreign Policy,18,"RT @congoboy: This is going to be a long, tiring election season. 
""shockingly ill-informed"" candidates at #GOPDebate
http://t.co/vTK1k0tXi…",Seattle,Unknown
114,Marco Rubio,1,None of the above,46,"RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate",Arizona,Arizona
115,John Kasich,1,Jobs and Economy,73,RT @JohnKasich: The miracle can happen to you. Grow opportunity and grow jobs. #GOPDebate http://t.co/lNqhDgTUdK,Unknown,Central Time (US & Canada)
116,Scott Walker,0,None of the above,51,RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate,Delaware,Eastern Time (US & Canada)
117,No candidate mentioned,0,Racial issues,409,"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh",Unknown,Mountain Time (US & Canada)
118,No candidate mentioned,0,None of the above,94,"RT @Smethanie: Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate","Springfield, IL",Central Time (US & Canada)
119,Donald Trump,0,FOX News or Moderators,2,RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,Las Vegas NV,Unknown
120,No candidate mentioned,0,FOX News or Moderators,2,"RT @palmaceiahome1: Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate",Fla/Mich,Central Time (US & Canada)
121,Donald Trump,0,FOX News or Moderators,482,"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased.""",USA,Eastern Time (US & Canada)
122,Marco Rubio,2,Jobs and Economy,0,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang",Unknown,Quito
123,No candidate mentioned,0,None of the above,4,RT @JamesViser: Huh. Half of Clinton's charity went to...the Clintons! http://t.co/BVwRoSgWAL #copolitics #Hillary2016 #StopHillary #UniteB…,10km from amsterdam,Amsterdam
124,Donald Trump,0,FOX News or Moderators,2,"RT @kraig4u: #GOPDebate  The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN",Unknown,Unknown
125,No candidate mentioned,1,None of the above,15,"RT @DiegoUK: Democrats watching the #GOPDebate last night http://t.co/7v4WJok3vM 
#p2 #ctl #topprog #tcot #tlot","Philadelphia, PA",Eastern Time (US & Canada)
126,Donald Trump,0,FOX News or Moderators,112,"RT @AmyMek: We all owe @realDonaldTrump a huge thank you 4 exposing to the world👉@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!…",Unknown,Pacific Time (US & Canada)
127,Scott Walker,0,None of the above,224,RT @TheBaxterBean: Scott Walker Lies: Says WI Budget Has $535M Surplus (Actually Has $1.76B Deficit) http://t.co/VVMxzkxLKr #GOPDebate http…,Unknown,Central Time (US & Canada)
128,No candidate mentioned,2,Abortion,0,You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? #GOPDebate  https://t.co/5HkCefp1hf,EveryWhere,Eastern Time (US & Canada)
129,No candidate mentioned,1,None of the above,1098,"RT @pattonoswalt: ""Have any of you received a word from God?"" = ""Are any of you soup-sandwich crazy?"" #GOPDebate",Unknown,Pacific Time (US & Canada)
130,No candidate mentioned,0,FOX News or Moderators,52,"RT @FrankConniff: Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?""",Unknown,Mountain Time (US & Canada)
131,No candidate mentioned,0,None of the above,127,RT @LeslieMac: But the murder of black ppl is just fine- just not unborn black babies? #GOPLogic #GOPDebate,Unknown,Eastern Time (US & Canada)
132,No candidate mentioned,1,None of the above,3847,RT @HillaryClinton: Missing Jon Stewart already. #GOPdebate #JonVoyage -H,CA,Pacific Time (US & Canada)
133,Chris Christie,2,None of the above,1,RT @CharlotteLaws: Chris Christie is really standing out at the #GOPdebate,"Los Angeles, CA",Unknown
134,Donald Trump,2,FOX News or Moderators,1,"RT @libertyjibbet: Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDe…",Unknown,Central Time (US & Canada)
135,No candidate mentioned,0,Abortion,0,"You can't be pro-life AND have watched that 2 hour abortion last night.
#GOPDebate #forkedtongue #IseeOrangePeople","San Marino, California",Pacific Time (US & Canada)
136,Donald Trump,0,FOX News or Moderators,310,"RT @DanScavino: .@MegynKelly,
You failed the American people tonight. 
You tried to make history, by destroying @realDonaldTrump. #KellyFai…",Unknown,Unknown
137,No candidate mentioned,0,Religion,334,"RT @edstetzer: Btw... when you mix politics and religion, you get politics. #GOPDebate","Athens, Ga",Unknown
138,Marco Rubio,2,Abortion,350,RT @TeamMarco: Marco nailed it on abortion. We must protect life. #GOPDebate http://t.co/Nn6S7dO22J,Unknown,Unknown
139,Donald Trump,0,FOX News or Moderators,0,@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate,Unknown,Unknown
140,No candidate mentioned,0,None of the above,0,They obviously didn't get the memo about #SeersuckerThursday. #GOPDebate http://t.co/LZagRRtZfl,"Berkeley, CA",Unknown
141,Donald Trump,0,None of the above,14,"RT @VH1: Honestly, Donald Trump you were ALL types of petty at last night's #GOPDebate 😒 --&gt; http://t.co/QxdoeMfuqO http://t.co/mcr6lrJh2h",Unknown,Cape Verde Is.
142,No candidate mentioned,0,None of the above,8,RT @TuxcedoCat: All Republican dopefuls who say they'll take US back to 2009 on 'Day One' will never see one day in White House! #GOPDebate…,Unknown,Unknown
143,Donald Trump,0,None of the above,0,Trump gloating abt buying GOP+Dem pols &amp;them doing his bidding IS my 2000s Billionaire caricature MyaCash #GOPDebate https://t.co/5spmU3csIc,"Brooklyn, NY",Eastern Time (US & Canada)
144,No candidate mentioned,2,FOX News or Moderators,226,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@FlyoverCulture @LeahR77 @steph93065 @MaydnUSA http://t.co/…",Unknown,Unknown
145,No candidate mentioned,0,None of the above,255,RT @Daenerys: Listening to the #GOPDebate like http://t.co/3JrCuQdAFu,Unknown,Unknown
146,Rand Paul,2,None of the above,5,RT @ScorpionsPriest: Best moment of the #GOPDebate last night: Rand telling Christie to go get another hug from Obama.,"portsmouth ,Rhode Island",Unknown
